ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
425,DOVEHAVEN ST,,Ward 2,,8,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage  Model: Athens 2007 C,1,182100,2530,1108988,Construction,2011-12-29
413,DOVEHAVEN ST,,Ward 2,,2,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: Helsinki 2007 B,1,170930,2299,1108989,Construction,2011-12-29
251,FOUNTAINHEAD DR,,Ward 2,,68,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Oslo 2007 C 3 dbrm,1,149300,1990,1108990,Construction,2011-12-29
112,WINTERHAVEN DR,,Ward 2,,107,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Sofia 2007 B,1,215730,2939,1108991,Construction,2011-12-29
110,WINTERHAVEN DR,,Ward 2,,106,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Milan 2007 ABC,1,169460,2278,1108992,Construction,2011-12-29
128,WINTERHAVEN DR,,Ward 2,,115,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Amsterdam 2007 A,1,161970,2171,1108993,Construction,2011-12-29
244,FOUNTAINHEAD DR,,Ward 2,,87,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Athens 2007 B,1,182100,2530,1108994,Construction,2011-12-29
3885,INNES RD,K1C 1T1,Ward 2,,PT 25,CONTRACTOR UNKNOWN,Retail,Gloucester,Interior alterations in a 1 storey retail building - [Hello Sushi Man],0,25000,646,1108995,Construction,2011-12-29
4120,HALL RD,K0A 1K0,Ward 19,,PT LOT 6,P.M.D. CONSTRUCTION,Demolition,Gloucester,Demolish a 1 storey detached dwelling,-1,5000,-1000,1108996,Demolition,2011-12-29
4050,HALL RD,K0A 1K0,Ward 19,,PT LOT 6,P.M.D. CONSTRUCTION,Demolition,Gloucester,Demolish a 2 storey detached dwelling,-1,5000,-1000,1108997,Demolition,2011-12-29
2557,BASELINE RD,K2H 7B3,Ward 8,538,3 - 4,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Plumbing Permit Only:  Installing a toilet and sink,0,0,0,1108998,Construction,2011-12-29
29,BEAUFORT DR,K2L 1Z5,Ward 23,4M-898,1185,CONTRACTOR UNKNOWN,Single,Kanata,Interior alterations to a 2 storey detached dwelling,0,0,120,1108999,Construction,2011-12-29
67,THIRD AVE,K1S 2J7,Ward 17,35085,24,"DOWNEY, WILLIAM",Single,Old Ottawa,Interior alterations on the 1st floor of a 2 storey semi-detached dwelling,0,10000,1800,1109000,Construction,2011-12-29
49,SADDLE CRES,K1G 5L3,Ward 10,4M-704,24,***CONTRACTOR***,Single,Old Ottawa,Interior alterations to  increase the basement window size in a 2 storey detached dwelling,0,2000,0,1109001,Construction,2011-12-29
2258,LAWN AVE,K2B 7B2,Ward 7,461,PT LOT 13,***CONTRACTOR***,Single,Old Ottawa,Interior alterations to the 1st floor of a 2 storey detached dwelling,0,10000,2045,1109002,Construction,2011-12-29
3696,VAUGHAN SIDE RD,K0A 1L0,Ward 5,,PT LOT 20,***CONTRACTOR***,Single,West Carleton,Construct 1 storey detached dwelling with attached garages,1,225000,1744,1109003,Construction,2011-12-29
330,SHADEHILL CRES,K2J 0L6,Ward 3,4M-1311,16,"ROBERT, JEAN-MARC",Single,Nepean,Construct an unheated sunroom addition at the rear of a 2 storey detached dwelling,0,12500,228,1109004,Construction,2011-12-29
337,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,109-114,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,750600,9658,1109006,Construction,2011-12-30
339,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,109-114,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,750600,9658,1109006,Construction,2011-12-30
341,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,109-114,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,750600,9658,1109006,Construction,2011-12-30
