ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
671,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
673,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
984,CAVAN ST,K1Z 5T7,Ward 16,346,255-256,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2nd storey addition on a 1 storey detached dwelling,0,45000,540,1302402,Construction,2013-05-02
364,BRETTONWOOD RIDGE,,Ward 4,,34,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Griffin 2011 B,1,254917,1715,1302403,Construction,2013-05-02
415,COUNTRY GLEN WAY,,Ward 4,,86,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Griffin 2011 B,1,254917,1715,1302404,Construction,2013-05-02
550,FOXVIEW PL,K1K 4C4,Ward 13,142,,KICKING HORSE DESIGN & BUILD,Semi - Detached,Old Ottawa,Construct a second storey addition to a 2 storey detached dwelling,0,10000,129,1302405,Construction,2013-05-02
304,BRETTONWOOD RIDGE,,Ward 4,,68,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Hathaway 4 2007 B,1,318832,2145,1302406,Construction,2013-05-02
7098,NOTRE DAME ST,K1C 1H9,Ward 2,,pt lot 2,"TASSE, EDGAR",Detached Garage/Shed,Gloucester,Construct a shed (rear yard),0,11400,570,1302407,Construction,2013-05-02
1670,LINKLAND CRT,K4C 0A5,Ward 19,4M1405,12,***CONTRACTOR***,Single,Cumberland,Construct a porch (rear yard),0,5250,350,1302408,Construction,2013-05-02
465,HIGHCROFT AVE,K1Z 5J3,Ward 15,4M-269,39,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 1 storey addition at the rear and interior alterations on all floors of a 3 storey detached dwelling,0,74287,936,1302409,Construction,2013-05-02
515,KEATS AVE,K1G 0S9,Ward 18,665,907,CLEAN WATER WORKS INC,Single,Old Ottawa,PLUMBING ONLY - Install an open port backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1302410,Construction,2013-05-02
1223,UPTON RD,K4M 1B3,Ward 21,M-257,30,SPLASH POOLS & SPAS,Single,Rideau,Install an enclosure for an inground pool (rear yard),0,0,0,1302411,Pool Enclosure,2013-05-02
2049,WOODGLEN CRES,K1J 6G6,Ward 11,818,312,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations to the 1st floor of a 2 storey dwelling,0,12500,220,1302412,Construction,2013-05-02
1349,MAXIME ST,K1B 3L2,Ward 11,685,38,PORTALIA CONSTRUCTION INC.,Single,Gloucester,Construct a secondary dwelling unit in the basement of a 2 storey duplex,1,5000,1180,1302413,Construction,2013-05-02
1351,MAXIME ST,K1B 3L2,Ward 11,685,PT LOT 38,PORTALIA CONSTRUCTION INC.,Single,Gloucester,Construct a secondary dwelling unit in the basement of a 2 storey duplex,1,5000,1180,1302414,Construction,2013-05-02
3147,KLONDIKE RD W,,Ward 21,,PT LOT 8,***CONTRACTOR***,Detached Garage/Shed,Rideau,Construct a shed (rear yard),0,25000,864,1302415,Construction,2013-05-02
4340,BANK ST,K0A 2P0,Ward 10,634,36,LEISURE TIME POOLS,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,1302417,Pool Enclosure,2013-05-02
329,SUMMIT AVE,K1H 5Z7,Ward 18,452,135,"BRABANT, BERTRAND",Single,Old Ottawa,Construct a 2 storey detached dwelling,1,496042,3337,1302418,Construction,2013-05-02
329,SUMMIT AVE,K1H 5Z7,Ward 18,452,135,"BRABANT, BERTRAND",Demolition,Old Ottawa,Demolish most of a 1 storey detached dwelling,-1,8700,-900,1302419,Demolition,2013-05-02
20  -1,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
20  -10,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
20  -11,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
20  -12,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
20  -13,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
20  -14,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
20  -15,CHARLEVOIX ST,K1L 8K5,Ward 12,271,,MCDONALD BROS. CONSTRUCTION INC..,Rowhouse,Vanier,"Interior/exterior alterations to remove and replace privacy partitions to 6, 2 storey 4 unit townhouse blocks",0,225150,0,1302420,Construction,2013-05-03
