ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
2080,PORTOBELLO BLVD,K4A 0K5,Ward 19,4M1062,,OTTAWA CARLETON DISTRICT SCHOOL BOARD,Institutional,Cumberland,Relocate 1 portable classroom onsite  for a total of 12 (Avalon Public School),0,3000,775,1307298,Construction,2013-10-10
139,BANK ST,K1P 5N7,Ward 14,3922,36-37,RICHCRAFT HOMES LTD.,Office,Old Ottawa,Tenant fit-up on ground floor of a 3 storey commercial building (Richcraft's advertizing and sales office),0,50000,1400,1307299,Construction,2013-10-10
239,SHINNY AVE,K2V 0B9,Ward 6,,,EQ HOMES,Semi - Detached,Goulbourn,Construct a 1 storey semi-detached dwelling,2,325633,2859,1307300,Construction,2013-10-10
241,SHINNY AVE,K2V 0B9,Ward 6,,,EQ HOMES,Semi - Detached,Goulbourn,Construct a 1 storey semi-detached dwelling,2,325633,2859,1307300,Construction,2013-10-10
31,MCKITRICK DR,K2L 2J7,Ward 23,M-220,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1307301,Construction,2013-10-10
996,ROTARY WAY,,Ward 20,,19,G. LEMAY CONSTRUCTION (2006) INC.,Single,Gloucester,Construct a 2 storey detached dwelling,1,251016,1727,1307302,Construction,2013-10-10
996,ROTARY WAY,,Ward 20,,19,G.LEMAY CONSTRUCTION (2006) INC.,Single,Gloucester,Construct a 2 storey detached dwelling,1,251016,1727,1307302,Construction,2013-10-10
3140,LAFLEUR RD,,Ward 19,,pt 8,TREVI POOLS,Single,Cumberland,Install an enclosure for an inground pool (rear yard),0,0,0,1307303,Pool Enclosure,2013-10-10
27,SHELDRAKE DR,K2L 1S5,Ward 23,887,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1307304,Construction,2013-10-10
214,DAGMAR AVE,K1L 5S9,Ward 12,4M-44,174,AUSTRIAN HOME RENOVATIONS,Single,Vanier,Interior and exterior alterations to a 2 storey detached dwelling (repair fire damage),0,105000,978,1307305,Construction,2013-10-10
